"kode_produk","tgl_berlaku","kode_cabang","harga_berlaku_cabang","modal_cabang","biaya_cabang"
PROD-0000033,"2008-01-03 00:00:00",CABANG-039,15440,14670,210
PROD-0000034,"2008-01-03 00:00:00",CABANG-039,20080,19270,140
PROD-0000035,"2008-01-03 00:00:00",CABANG-039,6110,5800,60
PROD-0000036,"2008-01-03 00:00:00",CABANG-039,29700,28070,250
PROD-0000037,"2008-01-03 00:00:00",CABANG-039,4930,4690,110
PROD-0000038,"2008-01-03 00:00:00",CABANG-039,6000,5700,100
PROD-0000039,"2008-01-03 00:00:00",CABANG-039,5450,5150,100
PROD-0000040,"2008-01-03 00:00:00",CABANG-039,15000,14260,310
PROD-0000041,"2008-01-03 00:00:00",CABANG-039,13080,12490,190
PROD-0000001,"2008-01-04 00:00:00",CABANG-039,11130,10570,70
PROD-0000002,"2008-01-04 00:00:00",CABANG-039,4250,4030,40
PROD-0000003,"2008-01-04 00:00:00",CABANG-039,6200,5920,70
PROD-0000004,"2008-01-04 00:00:00",CABANG-039,8030,7630,20
PROD-0000005,"2008-01-04 00:00:00",CABANG-039,7150,6800,80
PROD-0000006,"2008-01-04 00:00:00",CABANG-039,7990,7660,120
PROD-0000007,"2008-01-04 00:00:00",CABANG-039,4580,4340,30
PROD-0000008,"2008-01-04 00:00:00",CABANG-039,1080,1030,10
PROD-0000009,"2008-01-04 00:00:00",CABANG-039,4690,4460,80
PROD-0000010,"2008-01-04 00:00:00",CABANG-039,1110,1060,0
PROD-0000011,"2008-01-04 00:00:00",CABANG-039,1190,1130,0
PROD-0000012,"2008-01-04 00:00:00",CABANG-039,3530,3340,10
PROD-0000013,"2008-01-04 00:00:00",CABANG-039,12300,11700,140
PROD-0000014,"2008-01-04 00:00:00",CABANG-039,11300,10780,30
PROD-0000015,"2008-01-04 00:00:00",CABANG-039,19040,17920,20
PROD-0000016,"2008-01-04 00:00:00",CABANG-039,96770,91930,50
PROD-0000017,"2008-01-04 00:00:00",CABANG-039,1200,1130,10
PROD-0000018,"2008-01-04 00:00:00",CABANG-039,9060,8610,190
PROD-0000019,"2008-01-04 00:00:00",CABANG-039,5980,5680,140
PROD-0000020,"2008-01-04 00:00:00",CABANG-039,5230,4990,10
PROD-0000021,"2008-01-04 00:00:00",CABANG-039,12220,11600,120
PROD-0000022,"2008-01-04 00:00:00",CABANG-039,70840,67300,1450
PROD-0000023,"2008-01-04 00:00:00",CABANG-039,13940,13160,340
PROD-0000024,"2008-01-04 00:00:00",CABANG-039,15030,14280,110
PROD-0000025,"2008-01-04 00:00:00",CABANG-039,9960,9460,180
PROD-0000026,"2008-01-04 00:00:00",CABANG-039,900,850,0
PROD-0000027,"2008-01-04 00:00:00",CABANG-039,12120,11540,270
PROD-0000028,"2008-01-04 00:00:00",CABANG-039,55550,52780,970
PROD-0000029,"2008-01-04 00:00:00",CABANG-039,5930,5630,60
PROD-0000030,"2008-01-04 00:00:00",CABANG-039,4000,3820,20
PROD-0000031,"2008-01-04 00:00:00",CABANG-039,18180,17280,340
PROD-0000032,"2008-01-04 00:00:00",CABANG-039,4940,4710,40
PROD-0000033,"2008-01-04 00:00:00",CABANG-039,15530,14760,290
PROD-0000034,"2008-01-04 00:00:00",CABANG-039,20080,19080,420
PROD-0000035,"2008-01-04 00:00:00",CABANG-039,5920,5570,120
PROD-0000036,"2008-01-04 00:00:00",CABANG-039,30540,29020,120
PROD-0000037,"2008-01-04 00:00:00",CABANG-039,4970,4740,70
PROD-0000038,"2008-01-04 00:00:00",CABANG-039,6010,5680,140
PROD-0000039,"2008-01-04 00:00:00",CABANG-039,5430,5150,120
PROD-0000040,"2008-01-04 00:00:00",CABANG-039,15060,14190,130
PROD-0000041,"2008-01-04 00:00:00",CABANG-039,12840,12190,230
PROD-0000001,"2008-01-05 00:00:00",CABANG-039,10930,10410,180
PROD-0000002,"2008-01-05 00:00:00",CABANG-039,4230,4030,40
PROD-0000003,"2008-01-05 00:00:00",CABANG-039,6190,5820,150
PROD-0000004,"2008-01-05 00:00:00",CABANG-039,7930,7530,80
PROD-0000005,"2008-01-05 00:00:00",CABANG-039,7200,6780,90
PROD-0000006,"2008-01-05 00:00:00",CABANG-039,8000,7560,140
PROD-0000007,"2008-01-05 00:00:00",CABANG-039,4650,4380,20
PROD-0000008,"2008-01-05 00:00:00",CABANG-039,1090,1030,20
PROD-0000009,"2008-01-05 00:00:00",CABANG-039,4720,4500,0
PROD-0000010,"2008-01-05 00:00:00",CABANG-039,1110,1050,20
PROD-0000011,"2008-01-05 00:00:00",CABANG-039,1200,1150,20
PROD-0000012,"2008-01-05 00:00:00",CABANG-039,3540,3390,30
PROD-0000013,"2008-01-05 00:00:00",CABANG-039,12400,11810,150
PROD-0000014,"2008-01-05 00:00:00",CABANG-039,11370,10800,200
PROD-0000015,"2008-01-05 00:00:00",CABANG-039,19030,18100,170
PROD-0000016,"2008-01-05 00:00:00",CABANG-039,95990,91990,1390
PROD-0000017,"2008-01-05 00:00:00",CABANG-039,1200,1140,10
PROD-0000018,"2008-01-05 00:00:00",CABANG-039,8840,8400,200
PROD-0000019,"2008-01-05 00:00:00",CABANG-039,5980,5710,90
PROD-0000020,"2008-01-05 00:00:00",CABANG-039,5180,4870,110
PROD-0000021,"2008-01-05 00:00:00",CABANG-039,12070,11460,120
PROD-0000022,"2008-01-05 00:00:00",CABANG-039,70000,66040,700
PROD-0000023,"2008-01-05 00:00:00",CABANG-039,14110,13280,220
PROD-0000024,"2008-01-05 00:00:00",CABANG-039,15030,14220,20
PROD-0000025,"2008-01-05 00:00:00",CABANG-039,9940,9440,140
PROD-0000026,"2008-01-05 00:00:00",CABANG-039,890,840,20
PROD-0000027,"2008-01-05 00:00:00",CABANG-039,12070,11530,90
PROD-0000028,"2008-01-05 00:00:00",CABANG-039,55440,52670,300
PROD-0000029,"2008-01-05 00:00:00",CABANG-039,6060,5800,100
PROD-0000030,"2008-01-05 00:00:00",CABANG-039,4020,3810,100
PROD-0000031,"2008-01-05 00:00:00",CABANG-039,17720,16860,130
PROD-0000032,"2008-01-05 00:00:00",CABANG-039,4970,4680,110
PROD-0000033,"2008-01-05 00:00:00",CABANG-039,15380,14750,270
PROD-0000034,"2008-01-05 00:00:00",CABANG-039,20040,18910,190
PROD-0000035,"2008-01-05 00:00:00",CABANG-039,6000,5730,100
PROD-0000036,"2008-01-05 00:00:00",CABANG-039,29760,28160,730
PROD-0000037,"2008-01-05 00:00:00",CABANG-039,5020,4770,40
PROD-0000038,"2008-01-05 00:00:00",CABANG-039,5970,5700,10
PROD-0000039,"2008-01-05 00:00:00",CABANG-039,5510,5250,120
PROD-0000040,"2008-01-05 00:00:00",CABANG-039,15000,14290,270
PROD-0000041,"2008-01-05 00:00:00",CABANG-039,12980,12340,140
PROD-0000001,"2008-01-06 00:00:00",CABANG-039,11200,10640,240
PROD-0000002,"2008-01-06 00:00:00",CABANG-039,4250,4030,50
PROD-0000003,"2008-01-06 00:00:00",CABANG-039,6140,5790,100
PROD-0000004,"2008-01-06 00:00:00",CABANG-039,7940,7540,50
PROD-0000005,"2008-01-06 00:00:00",CABANG-039,7210,6880,170
PROD-0000006,"2008-01-06 00:00:00",CABANG-039,8050,7650,0
PROD-0000007,"2008-01-06 00:00:00",CABANG-039,4630,4390,40
PROD-0000008,"2008-01-06 00:00:00",CABANG-039,1060,1000,20
PROD-0000009,"2008-01-06 00:00:00",CABANG-039,4740,4500,10
PROD-0000010,"2008-01-06 00:00:00",CABANG-039,1090,1040,10
PROD-0000011,"2008-01-06 00:00:00",CABANG-039,1200,1150,20
PROD-0000012,"2008-01-06 00:00:00",CABANG-039,3520,3330,0
PROD-0000013,"2008-01-06 00:00:00",CABANG-039,12370,11750,280
PROD-0000014,"2008-01-06 00:00:00",CABANG-039,11320,10730,160
PROD-0000015,"2008-01-06 00:00:00",CABANG-039,19040,18080,90
PROD-0000016,"2008-01-06 00:00:00",CABANG-039,96770,91930,290
PROD-0000017,"2008-01-06 00:00:00",CABANG-039,1210,1160,0
PROD-0000018,"2008-01-06 00:00:00",CABANG-039,8790,8350,150
PROD-0000019,"2008-01-06 00:00:00",CABANG-039,6060,5770,80
PROD-0000020,"2008-01-06 00:00:00",CABANG-039,5210,4950,120
PROD-0000021,"2008-01-06 00:00:00",CABANG-039,11950,11420,20
PROD-0000022,"2008-01-06 00:00:00",CABANG-039,70840,67980,740
PROD-0000023,"2008-01-06 00:00:00",CABANG-039,14030,13410,200
PROD-0000024,"2008-01-06 00:00:00",CABANG-039,14880,14200,320
PROD-0000025,"2008-01-06 00:00:00",CABANG-039,10060,9560,200
PROD-0000026,"2008-01-06 00:00:00",CABANG-039,890,860,10
PROD-0000027,"2008-01-06 00:00:00",CABANG-039,12070,11390,270
PROD-0000028,"2008-01-06 00:00:00",CABANG-039,55000,52250,710
PROD-0000029,"2008-01-06 00:00:00",CABANG-039,6010,5710,70
PROD-0000030,"2008-01-06 00:00:00",CABANG-039,4010,3780,30
PROD-0000031,"2008-01-06 00:00:00",CABANG-039,18000,17100,20
PROD-0000032,"2008-01-06 00:00:00",CABANG-039,4990,4770,20
PROD-0000033,"2008-01-06 00:00:00",CABANG-039,15630,14970,90
PROD-0000034,"2008-01-06 00:00:00",CABANG-039,20080,19130,320
PROD-0000035,"2008-01-06 00:00:00",CABANG-039,5990,5690,10
PROD-0000036,"2008-01-06 00:00:00",CABANG-039,29940,28440,390
PROD-0000037,"2008-01-06 00:00:00",CABANG-039,4990,4740,70
PROD-0000038,"2008-01-06 00:00:00",CABANG-039,5910,5600,30
PROD-0000039,"2008-01-06 00:00:00",CABANG-039,5460,5180,0
PROD-0000040,"2008-01-06 00:00:00",CABANG-039,14940,14340,340
PROD-0000041,"2008-01-06 00:00:00",CABANG-039,13000,12340,300
PROD-0000001,"2008-01-07 00:00:00",CABANG-039,11050,10470,100
PROD-0000002,"2008-01-07 00:00:00",CABANG-039,4210,4030,30
PROD-0000003,"2008-01-07 00:00:00",CABANG-039,6130,5820,100
PROD-0000004,"2008-01-07 00:00:00",CABANG-039,8020,7620,150
PROD-0000005,"2008-01-07 00:00:00",CABANG-039,7150,6830,100
PROD-0000006,"2008-01-07 00:00:00",CABANG-039,8060,7680,10
PROD-0000007,"2008-01-07 00:00:00",CABANG-039,4600,4370,70
PROD-0000008,"2008-01-07 00:00:00",CABANG-039,1070,1010,20
PROD-0000009,"2008-01-07 00:00:00",CABANG-039,4780,4530,0
PROD-0000010,"2008-01-07 00:00:00",CABANG-039,1090,1050,0
PROD-0000011,"2008-01-07 00:00:00",CABANG-039,1200,1130,10
PROD-0000012,"2008-01-07 00:00:00",CABANG-039,3520,3350,40
PROD-0000013,"2008-01-07 00:00:00",CABANG-039,12200,11660,300
PROD-0000014,"2008-01-07 00:00:00",CABANG-039,11390,10830,170
PROD-0000015,"2008-01-07 00:00:00",CABANG-039,19220,18260,190
PROD-0000016,"2008-01-07 00:00:00",CABANG-039,96190,91870,2160
PROD-0000017,"2008-01-07 00:00:00",CABANG-039,1210,1150,30
PROD-0000018,"2008-01-07 00:00:00",CABANG-039,9080,8620,130
PROD-0000019,"2008-01-07 00:00:00",CABANG-039,5980,5730,10
PROD-0000020,"2008-01-07 00:00:00",CABANG-039,5230,4990,50
PROD-0000021,"2008-01-07 00:00:00",CABANG-039,12080,11380,210
PROD-0000022,"2008-01-07 00:00:00",CABANG-039,70840,67970,850
PROD-0000023,"2008-01-07 00:00:00",CABANG-039,14160,13540,300
PROD-0000024,"2008-01-07 00:00:00",CABANG-039,14910,14100,70
PROD-0000025,"2008-01-07 00:00:00",CABANG-039,10100,9510,110
PROD-0000026,"2008-01-07 00:00:00",CABANG-039,900,850,10
PROD-0000027,"2008-01-07 00:00:00",CABANG-039,12000,11420,250
PROD-0000028,"2008-01-07 00:00:00",CABANG-039,54780,52040,270
PROD-0000029,"2008-01-07 00:00:00",CABANG-039,6010,5760,130
PROD-0000030,"2008-01-07 00:00:00",CABANG-039,4030,3850,70
PROD-0000031,"2008-01-07 00:00:00",CABANG-039,18290,17270,360
PROD-0000032,"2008-01-07 00:00:00",CABANG-039,4970,4760,110
PROD-0000033,"2008-01-07 00:00:00",CABANG-039,15740,14880,260
PROD-0000034,"2008-01-07 00:00:00",CABANG-039,19840,18920,150
PROD-0000035,"2008-01-07 00:00:00",CABANG-039,5980,5700,60
PROD-0000036,"2008-01-07 00:00:00",CABANG-039,29640,28160,90
PROD-0000037,"2008-01-07 00:00:00",CABANG-039,5000,4750,10
PROD-0000038,"2008-01-07 00:00:00",CABANG-039,6080,5780,10
PROD-0000039,"2008-01-07 00:00:00",CABANG-039,5540,5250,10
PROD-0000040,"2008-01-07 00:00:00",CABANG-039,15000,14280,60
PROD-0000041,"2008-01-07 00:00:00",CABANG-039,13000,12350,80
PROD-0000001,"2008-01-08 00:00:00",CABANG-039,11200,10640,260
PROD-0000002,"2008-01-08 00:00:00",CABANG-039,4220,4040,10
PROD-0000003,"2008-01-08 00:00:00",CABANG-039,6160,5810,70
PROD-0000004,"2008-01-08 00:00:00",CABANG-039,8040,7710,90
PROD-0000005,"2008-01-08 00:00:00",CABANG-039,7080,6720,20
PROD-0000006,"2008-01-08 00:00:00",CABANG-039,8080,7680,10
PROD-0000007,"2008-01-08 00:00:00",CABANG-039,4560,4360,50
PROD-0000008,"2008-01-08 00:00:00",CABANG-039,1060,1010,0
PROD-0000009,"2008-01-08 00:00:00",CABANG-039,4770,4530,30
PROD-0000010,"2008-01-08 00:00:00",CABANG-039,1100,1050,20
PROD-0000011,"2008-01-08 00:00:00",CABANG-039,1210,1160,30
PROD-0000012,"2008-01-08 00:00:00",CABANG-039,3550,3370,80
PROD-0000013,"2008-01-08 00:00:00",CABANG-039,12370,11840,10
PROD-0000014,"2008-01-08 00:00:00",CABANG-039,11390,10860,270
PROD-0000015,"2008-01-08 00:00:00",CABANG-039,18920,17980,330
PROD-0000016,"2008-01-08 00:00:00",CABANG-039,97540,92670,590
PROD-0000017,"2008-01-08 00:00:00",CABANG-039,1210,1160,0
PROD-0000018,"2008-01-08 00:00:00",CABANG-039,8850,8380,150
PROD-0000019,"2008-01-08 00:00:00",CABANG-039,6020,5710,10
PROD-0000020,"2008-01-08 00:00:00",CABANG-039,5250,5010,110
PROD-0000021,"2008-01-08 00:00:00",CABANG-039,12040,11440,280
PROD-0000022,"2008-01-08 00:00:00",CABANG-039,69300,65840,450
PROD-0000023,"2008-01-08 00:00:00",CABANG-039,13860,13120,100
PROD-0000024,"2008-01-08 00:00:00",CABANG-039,15030,14280,370
PROD-0000025,"2008-01-08 00:00:00",CABANG-039,10060,9600,180
PROD-0000026,"2008-01-08 00:00:00",CABANG-039,910,860,20
PROD-0000027,"2008-01-08 00:00:00",CABANG-039,11970,11410,210
PROD-0000028,"2008-01-08 00:00:00",CABANG-039,55220,52460,860
PROD-0000029,"2008-01-08 00:00:00",CABANG-039,6030,5720,70
PROD-0000030,"2008-01-08 00:00:00",CABANG-039,4010,3800,10
PROD-0000031,"2008-01-08 00:00:00",CABANG-039,17930,17190,40
PROD-0000032,"2008-01-08 00:00:00",CABANG-039,5010,4760,110
PROD-0000033,"2008-01-08 00:00:00",CABANG-039,15500,14590,280
PROD-0000034,"2008-01-08 00:00:00",CABANG-039,20160,19250,80
PROD-0000035,"2008-01-08 00:00:00",CABANG-039,6030,5740,110
PROD-0000036,"2008-01-08 00:00:00",CABANG-039,29760,28470,730
PROD-0000037,"2008-01-08 00:00:00",CABANG-039,5030,4780,0
PROD-0000038,"2008-01-08 00:00:00",CABANG-039,5990,5730,80
PROD-0000039,"2008-01-08 00:00:00",CABANG-039,5490,5270,20
PROD-0000040,"2008-01-08 00:00:00",CABANG-039,14850,14110,250
PROD-0000041,"2008-01-08 00:00:00",CABANG-039,13130,12390,310
PROD-0000001,"2008-01-09 00:00:00",CABANG-039,10950,10390,180
PROD-0000002,"2008-01-09 00:00:00",CABANG-039,4260,4000,10
PROD-0000003,"2008-01-09 00:00:00",CABANG-039,6200,5890,30
PROD-0000004,"2008-01-09 00:00:00",CABANG-039,7940,7600,110
PROD-0000005,"2008-01-09 00:00:00",CABANG-039,7010,6660,30
PROD-0000006,"2008-01-09 00:00:00",CABANG-039,8050,7650,80
PROD-0000007,"2008-01-09 00:00:00",CABANG-039,4610,4370,30
PROD-0000008,"2008-01-09 00:00:00",CABANG-039,1060,1010,10
PROD-0000009,"2008-01-09 00:00:00",CABANG-039,4730,4490,70
PROD-0000010,"2008-01-09 00:00:00",CABANG-039,1110,1060,20
PROD-0000011,"2008-01-09 00:00:00",CABANG-039,1200,1130,10
PROD-0000012,"2008-01-09 00:00:00",CABANG-039,3510,3360,50
PROD-0000013,"2008-01-09 00:00:00",CABANG-039,12350,11730,130
PROD-0000014,"2008-01-09 00:00:00",CABANG-039,11250,10680,60
PROD-0000015,"2008-01-09 00:00:00",CABANG-039,19000,18140,10
PROD-0000016,"2008-01-09 00:00:00",CABANG-039,95420,90950,100
PROD-0000017,"2008-01-09 00:00:00",CABANG-039,1190,1140,20
PROD-0000018,"2008-01-09 00:00:00",CABANG-039,8920,8470,30
PROD-0000019,"2008-01-09 00:00:00",CABANG-039,6010,5720,120
PROD-0000020,"2008-01-09 00:00:00",CABANG-039,5190,4960,70
PROD-0000021,"2008-01-09 00:00:00",CABANG-039,12150,11480,120
PROD-0000022,"2008-01-09 00:00:00",CABANG-039,70700,67380,1410
PROD-0000023,"2008-01-09 00:00:00",CABANG-039,14170,13460,260
PROD-0000024,"2008-01-09 00:00:00",CABANG-039,15180,14400,80
PROD-0000025,"2008-01-09 00:00:00",CABANG-039,10060,9490,110
PROD-0000026,"2008-01-09 00:00:00",CABANG-039,900,850,20
PROD-0000027,"2008-01-09 00:00:00",CABANG-039,12170,11480,210
PROD-0000028,"2008-01-09 00:00:00",CABANG-039,55550,52780,1000
PROD-0000029,"2008-01-09 00:00:00",CABANG-039,5990,5690,50
PROD-0000030,"2008-01-09 00:00:00",CABANG-039,4050,3860,70
PROD-0000031,"2008-01-09 00:00:00",CABANG-039,18250,17160,50
PROD-0000032,"2008-01-09 00:00:00",CABANG-039,5000,4720,30
PROD-0000033,"2008-01-09 00:00:00",CABANG-039,15500,14730,350
PROD-0000034,"2008-01-09 00:00:00",CABANG-039,20160,19150,230
PROD-0000035,"2008-01-09 00:00:00",CABANG-039,6060,5760,140
PROD-0000036,"2008-01-09 00:00:00",CABANG-039,29880,28390,40
PROD-0000037,"2008-01-09 00:00:00",CABANG-039,5010,4760,110
PROD-0000038,"2008-01-09 00:00:00",CABANG-039,6020,5670,20
PROD-0000039,"2008-01-09 00:00:00",CABANG-039,5430,5110,20
PROD-0000040,"2008-01-09 00:00:00",CABANG-039,15300,14570,320
PROD-0000041,"2008-01-09 00:00:00",CABANG-039,13080,12420,300
PROD-0000001,"2008-01-10 00:00:00",CABANG-039,10950,10480,210
PROD-0000002,"2008-01-10 00:00:00",CABANG-039,4190,3990,100
PROD-0000003,"2008-01-10 00:00:00",CABANG-039,6150,5840,150
PROD-0000004,"2008-01-10 00:00:00",CABANG-039,7970,7590,100
PROD-0000005,"2008-01-10 00:00:00",CABANG-039,7130,6750,40
PROD-0000006,"2008-01-10 00:00:00",CABANG-039,8020,7610,160
